species,quantile,region
Plicifusus kroyeri,Warm Edge,Eastern Bering Sea
Podothecus accipenserinus,Cold Edge,Eastern Bering Sea
Pollachius virens,Warm Edge,Northeast
Pomatomus saltatrix,Cold Edge,Northeast
Porichthys notatus,Cold Edge,West Coast
Prionotus carolinus,Cold Edge,Northeast
Prionotus evolans,Cold Edge,Northeast
Pteraster obscurus,Warm Edge,Eastern Bering Sea
Raja binoculata,Warm Edge,West Coast
Raja eglanteria,Cold Edge,Northeast
Rathbunaster californicus,Warm Edge,West Coast
Reinhardtius hippoglossoides,Warm Edge,Eastern Bering Sea
Scomber scombrus,Cold Edge,Northeast
Scyliorhinus retifer,Cold Edge,Northeast
Sebastes aurora,Cold Edge,West Coast
Sebastes babcocki,Warm Edge,West Coast
Sebastes crameri,Warm Edge,West Coast
Sebastes elongatus,Warm Edge,West Coast
Sebastes fasciatus,Warm Edge,Northeast
Sebastes goodei,Warm Edge,West Coast
Sebastes goodei,Cold Edge,West Coast
Sebastes jordani,Cold Edge,West Coast
Sebastes pinniger,Warm Edge,West Coast
Sebastes saxicola,Warm Edge,West Coast
Sebastes saxicola,Cold Edge,West Coast
Sebastes semicinctus,Cold Edge,West Coast
Sebastolobus alascanus,Warm Edge,West Coast
Squalus suckleyi,Warm Edge,West Coast
Squatina dumeril,Cold Edge,Northeast
Stenotomus chrysops,Cold Edge,Northeast
Strongylocentrotus droebachiensis,Warm Edge,Eastern Bering Sea
Styela rustica,Warm Edge,Eastern Bering Sea
Styela rustica,Cold Edge,Eastern Bering Sea
Tautogolabrus adspersus,Warm Edge,Northeast
Telmessus cheiragonus,Cold Edge,Eastern Bering Sea
Thaleichthys pacificus,Cold Edge,Eastern Bering Sea
Urophycis chuss,Warm Edge,Northeast
Urophycis regia,Cold Edge,Northeast
Urophycis tenuis,Warm Edge,Northeast
Zalembius rosaceus,Cold Edge,West Coast
Zaniolepis latipinnis,Cold Edge,West Coast
Zoarces americanus,Warm Edge,Northeast
